object_ID,stat_num,stat_ID,stat_name,street_num,street,address_2,city,province,postal_code,country,lat,lon
134,101,MUDR,Mud River,,,,Unorganized Thunder Bay District,Ontario,,Canada,50.31852454,-88.51664898
135,395,MUSK,Musk,,Austin Road,,Unorganized North Sudbury,Ontario,,Canada,47.949026,-83.707179
136,99,NAKI,Nakina,163,Railway Avenue,,,Ontario,P0T 2H0,Canada,50.17773,-86.71351
137,309,NAPN,Napanee,,Dairy Avenue,,,Ontario,K7R 3K6,Canada,44.25365,-76.954262
138,230,NEME,Nemegos,,,,Unorganized North Sudbury,Ontario,,Canada,47.72532,-83.202617
139,360,NICH,Nicholson,,,,Unorganized North Sudbury,Ontario,,Canada,47.957417,-83.765483
140,293,OBRI,O'Brien,,Highway 17,,Unorganized North Algoma,Ontario,,Canada,48.517478,-85.139115
141,436,OAKV,Oakville,,Cornwall Road,,Oakville,Ontario,L6J 3J1,Canada,43.454895,-79.682462
142,92,OBAX,Oba,,,,Unorganized North Algoma,Ontario,,Canada,49.059565,-84.105718
143,367,OSHA,Oshawa,,Thornton Road South,,Oshawa,Ontario,L1J 6W8,Canada,43.8708276,-78.88462583
144,303,OSKL,Oskelaneo Lodge,,,,,Quebec,,Canada,48.111198,-75.056591
145,617,OTTW,Ottawa,200,Tremblay Road,,Ottawa,Ontario,K1G 3H5,Canada,45.41599,-75.65151
146,426,PARE,Parent,,Rue Commerciale,,,Quebec,G0X 3P0,Canada,47.91958,-74.614225
147,69,PARS,Parry Sound,1,Station Street,,,Ontario,P2A 1Y7,Canada,45.35076028,-80.03713625
148,248,POGA,Pogamasing,,,,Unorganized North Sudbury,Ontario,,Canada,46.908917,-81.773197
149,37,PBDT,Pont Beaudet,,Route 3 (Zec Jeannotte),,,Quebec,,Canada,47.355582,-72.199959
150,9,PHOP,Port Hope,,Hayward Street,,,Ontario,L1A 1B2,Canada,43.943592,-78.299017
151,55,PRSS,Press,,Chemin de Pénétration,,,Quebec,,Canada,48.242405,-76.73338
152,628,QBEC,Quebec,,Pont-Tunnel Joseph-Samson,,Quebec,Quebec,G1K 3X2,Canada,46.81857104,-71.21461428
153,265,RAMS,Ramsey,,Ramsey Siding,,Unorganized North Sudbury,Ontario,,Canada,47.446379,-82.338701
154,320,RAPB,Rapide Blanc,,Chemin Rapide-Blanc-Station,,,Quebec,,Canada,47.671688,-73.003801
155,328,RMSK,Rimouski,,Rue Saint-Jean-Baptiste Est,,Rimouski,Quebec,G5L 1T6,Canada,48.45009869,-68.52121309
156,276,OSKR,Rivere Oskelaneo,,Route forestière 404,,,Quebec,,Canada,48.10816,-75.204927
157,327,RDLX,Riviere-du-Loup,,Rue Lafontaine,,Rivière-du-Loup,Quebec,G5R 2K4,Canada,47.8252985,-69.52767374
158,350,RAPX,Riviere-St-Pierre,,Rue des Loisirs,,,Quebec,G0A 3A0,Canada,46.989034,-72.17939
159,315,RBRT,Roberts,,Bisco Road,,Unorganized North Sudbury,Ontario,,Canada,47.330224,-82.199461
160,28,ROUS,Rousseau,975,Route Rousseau,,,Quebec,,Canada,46.9338,-72.286532
161,71,RUEL,Ruel,,,,Unorganized North Sudbury,Ontario,,Canada,47.25921659,-81.467846
162,94,SHPN,Saint-Hilaire de Portneuf,,Route 3 (Zec Jeannotte),,,Quebec,,Canada,47.366521,-72.211128
163,631,SHYA,Saint-Hyacinthe,,Rue Sicotte,,Saint-Hyacinthe,Quebec,J2S 0L7,Canada,45.62770762,-72.94893143
164,43,SJUS,Saint-Justin,,Rue Duchesnay,,,Quebec,,Canada,46.27314546,-73.109586
165,343,SLAM,Saint-Lambert,329,Avenue Saint-Denis,,,Quebec,J4P 2G5,Canada,45.49907918,-73.50745979
